央视频道,#genre#
CCTV1,http://119.180.89.82:7000/rtp/239.253.248.77:8000
CCTV2,http://119.180.89.82:7000/rtp/239.253.248.234:8000
CCTV5,http://119.180.89.82:7000/rtp/239.253.248.6:8000
CCTV5+,http://119.180.89.82:7000/rtp/239.253.248.80:8000
CCTV6,http://119.180.89.82:7000/rtp/239.253.248.7:8000
CCTV10,http://119.180.89.82:7000/rtp/239.253.248.236:8000
CCTV11,http://119.180.89.82:7000/rtp/239.253.248.12:8000
CCTV12,http://119.180.89.82:7000/rtp/239.253.248.237:8000
CCTV13,http://119.180.89.82:7000/rtp/239.253.248.14:8000
CCTV14,http://119.180.89.82:7000/rtp/239.253.248.238:8000
CCTV15,http://119.180.89.82:7000/rtp/239.253.248.16:8000
CCTV17,http://119.180.89.82:7000/rtp/239.253.248.168:8000
卫视频道,#genre#
湖南卫视,http://119.180.89.82:7000/rtp/239.253.248.82:8000
北京卫视,http://119.180.89.82:7000/rtp/239.253.248.85:8000
东方卫视,http://119.180.89.82:7000/rtp/239.253.248.86:8000
安徽卫视,http://119.180.89.82:7000/rtp/239.253.248.87:8000
广东卫视,http://119.180.89.82:7000/rtp/239.253.248.90:8000
深圳卫视,http://119.180.89.82:7000/rtp/239.253.248.91:8000
辽宁卫视,http://119.180.89.82:7000/rtp/239.253.248.92:8000
山东卫视,http://119.180.89.82:7000/rtp/239.253.248.78:8000
天津卫视,http://119.180.89.82:7000/rtp/239.253.248.89:8000
东南卫视,http://119.180.89.82:7000/rtp/239.253.248.105:8000
广西卫视,http://119.180.89.82:7000/rtp/239.253.248.40:8000
贵州卫视,http://119.180.89.82:7000/rtp/239.253.248.113:8000
河北卫视,http://119.180.89.82:7000/rtp/239.253.248.112:8000
黑龙江卫视,http://119.180.89.82:7000/rtp/239.253.248.93:8000
河南卫视,http://119.180.89.82:7000/rtp/239.253.248.44:8000
湖北卫视,http://119.180.89.82:7000/rtp/239.253.248.88:8000
江西卫视,http://119.180.89.82:7000/rtp/239.253.248.47:8000
吉林卫视,http://119.180.89.82:7000/rtp/239.253.248.46:8000
内蒙古卫视,http://119.180.89.82:7000/rtp/239.253.248.58:8000
山西卫视,http://119.180.89.82:7000/rtp/239.253.248.48:8000
陕西卫视,http://119.180.89.82:7000/rtp/239.253.248.49:8000
四川卫视,http://119.180.89.82:7000/rtp/239.253.248.50:8000
云南卫视,http://119.180.89.82:7000/rtp/239.253.248.42:8000
青海卫视,http://119.180.89.82:7000/rtp/239.253.248.54:8000
兵团卫视,http://119.180.89.82:7000/rtp/239.253.248.57:8000
哈哈炫动,http://119.180.89.82:7000/rtp/239.253.248.63:8000
金鹰卡通,http://119.180.89.82:7000/rtp/239.253.248.62:8000
嘉佳卡通,http://119.180.89.82:7000/rtp/239.253.248.65:8000
优漫卡通,http://119.180.89.82:7000/rtp/239.253.248.64:8000
数字频道,#genre#
生活时尚,http://119.180.89.82:7000/rtp/239.253.248.99:8000
游戏风云,http://119.180.89.82:7000/rtp/239.253.248.95:8000
电影频道,#genre#
家庭影院,http://119.180.89.82:7000/rtp/239.253.248.152:8000
动作电影,http://119.180.89.82:7000/rtp/239.253.248.153:8000
影迷电影,http://119.180.89.82:7000/rtp/239.253.248.154:8000
教育频道,#genre#
中国教育1,http://119.180.89.82:7000/rtp/239.253.248.110:8000
中国教育2,http://119.180.89.82:7000/rtp/239.253.248.107:8000
中国教育4,http://119.180.89.82:7000/rtp/239.253.248.108:8000
华东地区,#genre#
东方财经,http://119.180.89.82:7000/rtp/239.253.248.94:8000
山东公共,http://119.180.89.82:7000/rtp/239.253.248.23:8000
山东教育,http://119.180.89.82:7000/rtp/239.253.248.59:8000
山东少儿,http://119.180.89.82:7000/rtp/239.253.248.25:8000
山东体育,http://119.180.89.82:7000/rtp/239.253.248.22:8000
齐鲁频道,http://119.180.89.82:7000/rtp/239.253.248.18:8000
